sex height weight age
F 143 56.3 85.0
F 191 62.5 112.5
F 160 62.0 94.5
F 157 64.5 123.5
F 191 65.3 107.0
F 155 62.3 105.0
F 171 62.5 112.0
F 140 53.8 68.5
F 149 58.3 93.0
F 150 59.5 78.5
F 153 63.3 108.0
F 185 59.0 104.0
F 139 61.5 104.0
F 143 51.3 50.5
F 149 61.3 115.0
F 161 59.0 92.0
F 142 56.5 89.0
F 178 61.5 108.5
F 145 58.8 89.0
F 180 63.3 114.0
F 141 61.8 85.0
F 185 63.3 101.0
F 210 65.5 140.0
F 149 64.3 110.5
F 169 62.3 99.5
F 140 53.5 81.0
F 166 61.5 103.5
F 143 56.3 83.5
F 139 57.5 96.0
F 177 61.8 142.5
F 164 58.0 83.5
F 175 60.8 93.5
F 170 64.3 90.0
F 186 57.8 95.0
F 185 65.3 118.0
F 176 61.3 112.0
F 180 69.0 112.0
F 162 58.0 84.0
F 197 61.5 121.0
F 182 53.3 104.5
